title,price,rating
A Light in the Attic,£51.77,Three stars
Tipping the Velvet,£53.74,One stars
Soumission,£50.10,One stars
Sharp Objects,£47.82,Four stars
Sapiens: A Brief History of Humankind,£54.23,Five stars
The Requiem Red,£22.65,One stars
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four stars
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three stars
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four stars
The Black Maria,£52.15,One stars
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two stars
Shakespeare's Sonnets,£20.66,Four stars
Set Me Free,£17.46,Five stars
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five stars
Rip it Up and Start Again,£35.02,Five stars
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three stars
Olio,£23.88,One stars
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One stars
Libertarianism for Beginners,£51.33,Two stars
It's Only the Himalayas,£45.17,Two stars
